College_ID,IQ level,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0075,100,8.17,7.76,8,Yes,3,2,5,No
CLG0011,107,9.14,9.53,2,No,0,6,3,No
CLG0016,121,7.14,7.61,9,No,0,7,1,No
CLG0065,114,8.21,7.91,9,No,5,1,5,No
CLG0097,132,9.77,9.97,3,No,7,9,3,Yes
CLG0071,88,9.2,9.54,6,No,6,6,2,No
CLG0067,113,7.13,7.17,7,Yes,3,2,3,No
CLG0071,102,8.22,8.04,3,Yes,4,1,4,No
CLG0001,132,5.89,5.87,5,No,7,1,4,No
CLG0097,87,7.8,7.81,1,No,5,2,1,No
CLG0071,87,9.91,9.81,3,Yes,7,9,3,Yes
CLG0004,91,7.59,8.02,8,No,5,2,1,No
CLG0082,68,9.64,9.88,3,No,7,1,0,No
CLG0037,92,7.04,6.78,8,Yes,3,4,2,No
CLG0014,88,9.99,10.08,9,No,9,9,1,No
CLG0079,102,7.9,8.09,6,Yes,1,8,1,No
CLG0025,105,5.21,4.85,7,No,2,7,1,No
CLG0082,128,7.93,7.79,6,No,4,8,5,Yes
CLG0004,114,6.37,6.78,8,No,3,2,1,No
CLG0066,91,5.16,5.23,7,No,4,5,5,No
CLG0043,86,9.1,8.82,10,No,0,7,4,No
CLG0026,107,6.38,6,1,No,0,1,2,No
CLG0084,80,8.98,9,3,Yes,1,6,0,No
CLG0015,127,6.44,6.49,3,No,10,7,2,No
CLG0006,117,5.97,5.8,3,No,1,8,1,No
CLG0037,92,9.87,10,4,Yes,7,5,4,No
CLG0043,74,6.81,6.38,1,No,9,8,0,No
CLG0042,120,8.01,7.66,2,Yes,3,10,5,Yes
CLG0013,98,8.05,8.1,5,No,5,1,1,No
CLG0016,118,7.8,7.36,6,Yes,1,4,5,No
CLG0042,76,9.57,9.95,9,Yes,0,6,1,No
CLG0038,91,8.37,8.01,2,No,6,4,3,No
CLG0066,100,7.02,7.19,9,No,3,5,2,No
CLG0065,100,9.31,9.2,7,No,3,2,2,No
CLG0005,93,5.91,5.81,9,No,1,7,2,No
CLG0030,109,7.72,7.98,4,Yes,8,9,3,No
CLG0095,83,9.75,9.75,7,Yes,1,7,4,No
CLG0043,97,8.13,8.36,1,Yes,4,1,4,No
CLG0032,101,9.08,9.09,8,No,5,2,4,No
CLG0067,107,8.27,8.36,7,Yes,2,8,5,Yes
CLG0067,110,9.2,9.46,7,No,10,1,0,No
CLG0042,83,9.72,9.83,2,Yes,2,2,3,No
CLG0005,76,6.36,6.48,10,Yes,5,5,3,No
CLG0099,119,5.85,6.14,9,Yes,4,6,4,No
CLG0086,104,7.42,7.87,8,No,4,1,4,No
CLG0096,88,8.51,8.39,1,Yes,4,1,4,No
CLG0059,123,6.14,6.22,1,Yes,8,2,3,No
CLG0023,101,5.02,4.61,5,No,7,3,4,No
CLG0008,117,6.71,6.57,2,Yes,3,9,2,Yes
CLG0068,101,9.84,9.75,1,No,5,3,4,No
CLG0070,130,8.47,8.81,10,No,4,8,2,Yes
CLG0091,126,7.01,7.02,8,Yes,10,6,1,No
CLG0019,96,5.96,6.19,4,No,5,10,1,No
CLG0044,114,6.78,6.3,2,No,10,5,3,No
CLG0093,109,5.85,5.81,5,No,7,9,0,No
CLG0038,120,5.53,5.93,6,Yes,5,8,5,Yes
CLG0044,85,9.53,9.25,8,Yes,5,3,1,No
CLG0006,110,9.99,9.52,7,No,1,7,3,No
CLG0003,115,5.82,5.75,7,Yes,6,4,3,No
CLG0096,73,5.27,5.47,1,No,2,8,2,No
CLG0080,82,6.65,6.6,3,No,6,7,2,No
CLG0033,69,7.31,7.27,3,Yes,4,3,4,No
CLG0066,95,6.02,6.19,7,No,3,7,5,No
CLG0058,110,6.51,6.26,2,Yes,9,6,1,No
CLG0026,122,6,6.25,10,Yes,0,6,2,No
CLG0099,101,8.87,8.52,7,No,7,10,0,No
CLG0028,124,8.56,8.46,9,Yes,1,3,5,Yes
CLG0043,79,8.17,8.33,1,No,9,4,3,No
CLG0075,74,6.94,7.27,2,No,7,4,5,No
CLG0088,99,9.55,9.84,6,No,6,6,4,No
CLG0016,105,9.85,10.07,2,No,2,9,2,Yes
CLG0089,99,5.87,5.73,2,Yes,10,5,2,No
CLG0023,68,6.12,5.74,5,No,6,8,2,No
CLG0059,98,7.63,7.35,7,No,0,5,5,No
CLG0035,80,5.46,5.82,4,Yes,4,6,1,No
CLG0089,110,7.18,7.54,6,Yes,1,6,5,No
CLG0041,105,7.91,8.36,3,No,1,4,2,No
CLG0097,85,7.61,7.19,4,Yes,2,10,5,No
CLG0022,92,6.65,6.69,4,No,6,10,3,No
CLG0074,84,7.71,7.86,4,No,1,5,2,No
CLG0001,99,9.79,10,1,Yes,3,4,5,No
CLG0046,114,6.03,6.17,4,No,3,2,0,No
CLG0022,85,8.27,8.54,4,Yes,0,2,2,No
CLG0032,107,5.22,5.08,6,Yes,6,8,4,No
CLG0087,92,5.33,5.01,9,No,3,4,4,No
CLG0030,88,7.76,7.46,10,Yes,0,9,0,No
CLG0087,98,5.52,5.03,6,No,2,6,4,No
CLG0043,84,5.11,4.96,6,No,7,5,1,No
CLG0012,91,5.86,5.45,7,No,3,7,3,No
CLG0083,82,7.82,7.64,7,Yes,0,6,3,No
CLG0071,129,8.52,8.65,1,No,6,4,1,No
CLG0027,100,6.01,6.4,8,No,7,10,4,No
CLG0026,89,8.34,8.68,1,No,4,9,0,No
CLG0018,103,5.91,5.66,9,Yes,8,6,0,No
CLG0092,98,8.07,7.7,4,No,6,3,3,No
CLG0075,96,7.06,6.75,9,No,3,4,5,No
CLG0066,109,8.27,8.74,8,No,8,4,0,No
CLG0081,111,9.98,10.03,9,Yes,5,8,1,Yes
CLG0061,92,9.69,9.37,6,Yes,10,5,3,No
CLG0046,91,5.02,5.36,9,Yes,7,8,2,No
CLG0029,95,9.43,9.33,4,Yes,1,8,1,No
CLG0032,65,5.33,5.73,3,Yes,4,6,1,No
CLG0015,77,9.77,9.53,3,No,2,5,0,No
CLG0060,120,6.41,6.3,8,No,4,2,5,No
CLG0082,124,6.91,6.91,2,Yes,7,1,0,No
CLG0028,96,5.46,5.85,6,No,5,7,0,No
